source_origin_time,source_latitude_deg,source_longitude_deg,source_depth_km,path_back_azimuth_deg,station_network_code,station_code,trace_channel,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_completeness,trace_has_spikes,trace_start_time,trace_P_arrival_sample,trace_S_arrival_sample,trace_name_original,trace_chunk,trace_component_order,split
2014-05-01T00:52:20.970000Z,-19.4527,-69.9762,57.95,161.009411211,7K,BOLO,EH*,,-18.34,-70.38,1.0,"bucket0$0,:3,:15564",100.0,1.0,False,2014-05-01T00:52:20.630000Z,2000.0,3564.0,7K.BOLO.,,ZNE,train
2014-05-01T00:52:20.970000Z,-19.4527,-69.9762,57.95,311.334575074,CX,PB08,HH*,,-20.1411,-69.1534,3060.0,"bucket0$1,:3,:14001",100.0,1.0,False,2014-05-01T00:52:19.048393Z,2000.0,,CX.PB08.,,ZNE,test
2014-05-01T00:52:20.970000Z,-19.4527,-69.9762,57.95,329.936310182,DG,IN17,HH*,,-20.48,-69.35,1278.0,"bucket0$2,:3,:15552",100.0,1.0,False,2014-05-01T00:52:20.740000Z,2000.0,3551.0,DG.IN17.,,ZNE,dev
2014-05-01T00:52:20.970000Z,-19.4527,-69.9762,57.95,327.358785168,DG,IN06,HH*,,-19.61,-69.87,1194.0,"bucket0$3,:3,:14698",100.0,1.0,False,2014-05-01T00:52:09.279762Z,2000.0,2697.0,DG.IN06.,,ZNE,train
2014-05-01T00:52:20.970000Z,-19.4527,-69.9762,57.95,211.759638783,DG,IN10,HH*,,-19.29,-69.87,311.0,"bucket0$4,:3,:14762",100.0,1.0,False,2014-05-01T00:52:09.700000Z,2000.0,2761.0,DG.IN10.,,ZNE,dev
2014-05-01T00:52:20.970000Z,-19.4527,-69.9762,57.95,136.417777484,DG,IN09,HH*,,-19.18,-70.25,58.0,"bucket0$5,:3,:14800",100.0,1.0,False,2014-05-01T00:52:10.640000Z,2000.0,2799.0,DG.IN09.,,ZNE,test
2014-05-01T00:52:20.970000Z,-19.4527,-69.9762,57.95,11.4236029464,DG,IN03,HH*,,-19.94,-70.08,680.0,"bucket0$6,:3,:14856",100.0,1.0,False,2014-05-01T00:52:11.500000Z,2000.0,2855.0,DG.IN03.,,ZNE,test
2014-05-01T00:52:20.970000Z,-19.4527,-69.9762,57.95,148.73108655,7K,ALGR,EH*,,-17.56,-71.19,1.0,"bucket11$0,:3,:16653",100.0,1.0,False,2014-05-01T00:52:35.240000Z,2000.0,4652.0,7K.ALGR.,,ZNE,test
2014-05-01T00:52:20.970000Z,-19.4527,-69.9762,57.95,162.2275935,C1,AP01,HH*,,-18.3707,-70.3419,1152.0,"bucket0$7,:3,:15525",100.0,1.0,False,2014-05-01T00:52:20.020000Z,2000.0,3524.0,C1.AP01.,,ZNE,train
2014-05-01T00:52:20.970000Z,-19.4527,-69.9762,57.95,153.216318914,7K,BOCA,EH*,,-18.15,-70.67,1.0,"bucket0$8,:3,:15833",100.0,1.0,False,2014-05-01T00:52:24.560000Z,2000.0,3832.0,7K.BOCA.,,ZNE,test
2014-05-01T00:52:20.970000Z,-19.4527,-69.9762,57.95,4.82262994378,DG,IN01,HH*,,-20.17,-70.04,726.0,"bucket0$9,:3,:15032",100.0,1.0,False,2014-05-01T00:52:13.820000Z,2000.0,3031.0,DG.IN01.,,ZNE,train
2014-05-01T00:52:20.970000Z,-19.4527,-69.9762,57.95,356.365479725,DG,IN02,HH*,,-20.74,-69.89,989.0,"bucket0$10,:3,:15820",100.0,1.0,False,2014-05-01T00:52:21.380000Z,2000.0,3819.0,DG.IN02.,,ZNE,test
2014-05-01T00:52:20.970000Z,-19.4527,-69.9762,57.95,253.63418348,DG,IN04,HH*,,-19.34,-69.57,2201.0,"bucket0$11,:3,:14836",100.0,1.0,False,2014-05-01T00:52:11.450000Z,2000.0,2835.0,DG.IN04.,,ZNE,train
2014-05-01T00:52:20.970000Z,-19.4527,-69.9762,57.95,319.782732373,DG,IN05,HH*,,-20.1,-69.4,1713.0,"bucket0$12,:3,:15242",100.0,1.0,False,2014-05-01T00:52:16.080000Z,2000.0,3240.0,DG.IN05.,,ZNE,test
2014-05-01T00:52:20.970000Z,-19.4527,-69.9762,57.95,334.880894285,DG,IN07,HH*,,-19.87,-69.77,1161.0,"bucket0$13,:3,:14909",100.0,1.0,False,2014-05-01T00:52:11.340000Z,2000.0,2908.0,DG.IN07.,,ZNE,train
2014-05-01T00:52:20.970000Z,-19.4527,-69.9762,57.95,335.760019234,DG,IN08,HH*,,-20.33,-69.56,1018.0,"bucket0$14,:3,:15339",100.0,1.0,False,2014-05-01T00:52:17.380000Z,2000.0,3338.0,DG.IN08.,,ZNE,test
2014-05-01T00:52:20.970000Z,-19.4527,-69.9762,57.95,355.068255796,DG,IN11,HH*,,-21.06,-69.83,934.0,"bucket0$15,:3,:14001",100.0,1.0,False,2014-05-01T00:52:26.210000Z,2000.0,,DG.IN11.,,ZNE,dev
2014-05-01T00:52:20.970000Z,-19.4527,-69.9762,57.95,276.575698494,DG,IN12,HH*,,-19.52,-69.37,2721.0,"bucket0$16,:3,:14997",100.0,1.0,False,2014-05-01T00:52:13.310000Z,2000.0,2996.0,DG.IN12.,,ZNE,train
2014-05-01T00:52:20.970000Z,-19.4527,-69.9762,57.95,8.28049002274,DG,IN13,HH*,,-20.39,-70.12,877.0,"bucket0$17,:3,:15304",100.0,1.0,False,2014-05-01T00:52:16.990000Z,2000.0,3303.0,DG.IN13.,,ZNE,test
2014-05-01T00:52:20.970000Z,-19.4527,-69.9762,57.95,357.603876283,DG,IN16,HH*,,-20.5,-69.93,1044.0,"bucket0$18,:3,:15542",100.0,1.0,False,2014-05-01T00:52:18.150239Z,1999.0,3540.0,DG.IN16.,,ZNE,train
2014-05-01T00:52:20.970000Z,-19.4527,-69.9762,57.95,336.137294805,DG,IN18,HH*,,-20.99,-69.26,1444.0,"bucket0$19,:3,:16139",100.0,1.0,False,2014-05-01T00:52:27.970000Z,2000.0,4138.0,DG.IN18.,,ZNE,train
